title,author,length
Born to Be Badger,By: Shelly Laurenston,Length: 10 hrs and 38 mins
Love the Way You Spy,By: Lexi Blake,Length: 14 hrs and 32 mins
He's Not My Type,By: Meghan Quinn,Length: 11 hrs and 40 mins
Dead Reckoning,By: Joshua Dalzelle,Length: Not Yet Known
Winter Lost,By: Patricia Briggs,Length: 11 hrs
Itâ€™s a Hell of a Midlife,By: Robyn Peterman,Length: 4 hrs and 49 mins
A Love of My Own,By: Kya Montague,Length: 9 hrs and 3 mins
The Fixer,By: Lee Winter,Length: 9 hrs and 27 mins
God of Fury,By: Rina Kent,Length: 15 hrs and 59 mins
By the Grace of the Gods: Volume 7,"By: Roy, Adam Seacord - translator",Length: 6 hrs and 9 mins
That Others May Live,By: Sara Driscoll,Length: 11 hrs and 6 mins
Defiance of the Fall 11,"By: TheFirstDefier, JF Brink",Length: 24 hrs and 47 mins
Red Sky Mourning,By: Jack Carr,Length: 15 hrs and 30 mins
Defiant,By: Brandon Sanderson,Length: 13 hrs and 49 mins
You Like It Darker,By: Stephen King,Length: 20 hrs
The Engineer,By: Will Wight,Length: Not Yet Known
Metabolism Makeover,By: Megan Hansen,Length: 4 hrs and 9 mins
Shadowblade,"By: Terry Mancour, Emily Burch Harris",Length: 21 hrs and 22 mins
"The Year in Tech, 2024",By: Harvard Business Review,Length: 3 hrs
Uppercut,By: Mark Dawson,Length: 11 hrs and 3 mins
